SID,School Name,Professor Name,Overall Quality,Num Reviews,Department,Class Taken,Review Date,Quality,Difficulty,Review Text
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"Sep 6th, 2024",5.0,2.0,"Best Professor I've Ever Had. He explains complex concepts with such clarity and depth that everything feels understandable. What truly sets him apart is how deeply he cares about his students. His kindness and compassion create an incredibly supportive learning environment. On top of that, he's hilarious, making class not only informative but fun!"
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"Jun 14th, 2024",5.0,2.0,Probably one of the best math professors at wash
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH310W,"Jun 4th, 2024",5.0,2.0,"Schaefer is a very skilled educator and he is very qualified to teach the sensitive 310W.  Schaefer's 310 included a good coverage of foundational topics. The class is very difficult, that's just the nature of it. Schaefer doesn't seem to hold punches but still gives exceptional lectures and is very accessible and helpful outside of class."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"Jun 4th, 2024",5.0,2.0,Schaefer remains unparalleled for Calculus lectures. Precup was also very good.
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"May 22nd, 2024",5.0,2.0,Professor Schaefer is an amazing Professor. He is very organized and gives practice tests and quizzes to help people succeed.
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"May 15th, 2024",5.0,2.0,"Schaefer is a really good calc professor. If you can, take calc 2 +3 with him, you will do a lot better that way. I will say, it would be nice if there was more partial credit on exams, but that's a math department problem, not a schaefer problem."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"May 13th, 2024",5.0,2.0,"Take Schaefer if you can, and if you can't, just go to his lectures or watch them online. His lectures are very engaging and he teaches calculus in the easiest way to understand as possible. He's also a very fun and sweet guy."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"May 10th, 2024",5.0,2.0,"Schaefer's so kind and sweet. Makes an effort to connect with the class and learn names. On top of that, great lecturer and is excited to answer questions. In office hours, he'll explore material deeply with you. Not enough partial credit on MC exams, but other than that, he's one of my fav professors and makes me want to pursue math more. Calc 2+3"
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"May 10th, 2024",5.0,2.0,One of the best lecturers I've ever had.
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"May 1st, 2024",5.0,2.0,Live laugh love Schaeffer
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"Apr 28th, 2024",5.0,2.0,"Professor Schaefer is the goat of calculus at WashU. Clear and concise lectures, easygoing and humorous personality, and is always happy to help. You can feel that you're learn so much after every single lecture."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH132,"Apr 27th, 2024",5.0,2.0,The best math professor at WashU.
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH233,"Apr 26th, 2024",5.0,2.0,He is an all-time great in the WashU math department. This is unfortunately the last class I will get to take with him but he will forever be one of my favorite teachers here at WashU.
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH132,"Apr 19th, 2024",5.0,2.0,Who doesn't love Schaefer? PS solve the practice exams since they are super similar to actual exams!!!
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH4351,"Feb 1st, 2024",5.0,2.0,"Schaefer is the actual GOAT of the math department. 4351 is my favorite math class I've taken here, and it's all due to Karl. If he's teaching a class you want to take, then take it. He is a generational talent in the math department."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH132,"Jan 18th, 2024",5.0,2.0,"Schaefer is an incredibly skilled educator. He's a funny and caring guy, and he's great at math. He builds an intuitive understanding that I feel respects pure mathematics, and also acknowledges the relevant applications (especially relevant in Calc II imo). I think you should do everything in your power to take calc with Schaefer."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH100,"Jan 14th, 2024",5.0,2.0,"Schaefer is one of the best teachers I've ever had. He made sure to be available outside of class and did a great job of supporting my class' varying levels of learning. He's responsive, funny, a great lecturer, and his cats are the cutest."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH132,"Jan 11th, 2024",5.0,2.0,"BEST LECTURER. Believe the reviews. He's kind, interesting, and a teacher who truly cares about you understanding the material and how comfortable you feel with it. He is always willing to help if you ask!!!! I wish I went to more of his office hours."
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH132,"Jan 10th, 2024",5.0,2.0,good professor and clear lectures. make sure you pay attention because they'll try to trick you on tests. would definitely reccomend.
1147,Washington University in St. Louis,Karl Schaefer,4.8,20,Mathematics,MATH132,"Jan 10th, 2024",5.0,2.0,"While Calc 2 is generally a tough class, Schaefer made lectures super enjoyable, and his writing was always clear and easy to follow. As someone who didn't take any AP-level calc is hs, the class content was pretty difficult to get the hang of, but as long as you go to lectures (or watch them after class), you should be fine."
1147,Washington University in St. Louis,Bryn Lutes,2.1,20,Chemistry,CHEM151,"Sep 13th, 2024",1.0,3.0,"Absolutely worst course ever taken. You have abosulte no clue what to do in the lab. Worst grading system ever seen, just meant to make you fail."
1147,Washington University in St. Louis,Bryn Lutes,2.1,20,Chemistry,CHEM152,"May 7th, 2024",1.0,3.0,"Professor Lutes is extremely over-hated. She is very nice and helpful, and the grading overall is very fair. The main complaint is that her lectures are not helpful, but that is because they are meant as supplements to the video lectures - not as the main teaching component. If you put in the work to prepare they are very useful for the reports."
1147,Washington University in St. Louis,Bryn Lutes,2.1,20,Chemistry,CHEM152,"Apr 25th, 2024",1.0,3.0,"I honestly believe that she is overhated and most of the negative comments come from students who didn't bother to attend her lectures. I found that her lectures were very helpful with the pre-lab and content, and she was a chill, knowledgeable professor who put in effort to support her students. Somewhat cluttered and disorganized though."
